C0010200	['FN', 'FN', 'PT', 'SY', 'HT', 'ID', 'LLT', 'MH', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SI', 'SY', 'SY', 'SY', 'FN', 'SY', 'ET', 'ID', 'LLT', 'PN', 'PT', 'PT', 'PT', 'RT', 'SY', 'SY', 'PM', 'SY', 'SY']
C0010201	['FN', 'FN', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY', 'SY', 'PT', 'SY', 'PTCS', 'PT']
C0010263	['SY', 'FN', 'PT', 'FN', 'LLT', 'PT', 'PT', 'PM', 'PTCS', 'LLT', 'PM', 'PEP', 'PT', 'PM']
C0010520	['SY', 'SY', 'LLT', 'SY', 'SY', 'PM', 'FN', 'LLT', 'FN', 'PT', 'ID', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'RT', 'SI', 'SY', 'FN', 'PT', 'FN', 'PT']
C0011364	['FN', 'PT', 'PT', 'SY', 'SY']
C0011991	['SY', 'SY', 'SY', 'SYGB', 'FN', 'FN', 'ET', 'ET', 'LLT', 'SY', 'FN', 'PT', 'PT', 'CN', 'DN', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'MH', 'MTH_PT', 'MTH_PT', 'MTH_PTN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'RT', 'SY', 'SY', 'PT', 'PM', 'SY', 'LLT', 'PTGB', 'SY', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PTGB', 'PTN', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SYGB', 'FN', 'PT', 'MTH_PTN', 'PT', 'PTN', 'SY', 'SY', 'SY', 'SY', 'SY', 'PTCS', 'SY']
C0011992	['SY', 'SY', 'SY', 'MH', 'PT', 'PM', 'SY', 'SY', 'PT', 'MTH_PTN', 'SY', 'PTN', 'SY', 'ET', 'PN', 'PT', 'SY', 'SY', 'PM', 'SYGB']
C0012766	['LLT', 'PT', 'PT', 'SY', 'FN', 'HT', 'HT', 'HT', 'PT', 'FN', 'PN', 'PT', 'SY']
C0012833	['FN', 'FN', 'ET', 'ET', 'ID', 'LA', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SY', 'LLT', 'SY', 'SY', 'SY', 'SY', 'ET', 'SY', 'SY', 'LLT', 'SY']
C0013196	['FN', 'SY', 'PT']
C0013395	['FN', 'ET', 'ET', 'ET', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'PT', 'PM', 'FN', 'ET', 'ET', 'ET', 'ET', 'ID', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'RT', 'SI', 'SY', 'SY', 'SY', 'PM']
C0013404	['SY', 'LLT', 'PM', 'SY', 'PM', 'PT', 'LLT', 'PTCS', 'SY', 'SY', 'SY', 'SY', 'PT', 'SY', 'SY', 'ET', 'ET', 'ID', 'LLT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'PM', 'SY', 'SY', 'SY', 'FN', 'FN', 'LLT', 'PT', 'PT', 'PTN', 'SY', 'PT', 'FN', 'MTH_LLT', 'CN', 'DN', 'ET', 'HT', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'MH', 'MTH_PT', 'MTH_PT', 'MTH_PTN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'RT', 'SY', 'SY', 'SY', 'PT', 'PM', 'LLT', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTGB', 'PTN', 'SY', 'SY', 'HT', 'SY', 'PTCS', 'SY', 'LLT', 'PT', 'PT', 'FN', 'CN', 'ET', 'ET', 'ET', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'PT', 'PT', 'SY', 'SY', 'ET', 'SY']
C0013421	['PT', 'FN', 'SY', 'ET', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'PM', 'HT', 'SY', 'PT', 'PTCS', 'SY', 'FN', 'PT', 'ET']
C0013428	['FN', 'ET', 'LA', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'RT', 'SY', 'SY', 'PT', 'LLT', 'PT', 'PT', 'HT', 'HT', 'HT', 'SY', 'FN', 'PT', 'SY', 'SY', 'SY', 'SY', 'SY', 'ID', 'PTN', 'PT', 'PT', 'PTCS', 'SY', 'SY', 'PT', 'PT', 'PT', 'SY', 'ET', 'ET', 'LLT', 'PT', 'SY', 'PT', 'PT', 'SY', 'LLT', 'SY', 'SY', 'PT']
C0013456	['LLT', 'SY', 'SY', 'SY', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'SY', 'PT', 'FN', 'FN', 'ET', 'FN', 'SY', 'PT', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'PM', 'SY', 'SY', 'FN', 'ET', 'HT', 'HT', 'LLT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'PT', 'LLT', 'PT', 'PM', 'LLT', 'LLT', 'SY', 'SY', 'PT', 'SY', 'PT', 'PT']
C0013911	['SY', 'FN', 'SY', 'LA', 'PT', 'PT', 'SY', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'RT', 'PM']
C0014034	['PT', 'PT', 'SY', 'SY', 'LLT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'FN', 'PT']
C0014724	['SY', 'SY', 'FN', 'FN', 'PT', 'SY', 'SY', 'ET', 'ET', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'PM', 'SY', 'SY', 'FN', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'PT', 'ET', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY', 'SY', 'FN', 'SY', 'PM', 'SY', 'LLT', 'LLT', 'SY']
C0014811	['PT']
C0014887	['PN']
C0015230	['SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'FN', 'SY', 'PT', 'PT', 'FN', 'ET', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'LA', 'LLT', 'MH', 'PN', 'PT', 'PT', 'SY', 'SY', 'PT', 'SY', 'SY', 'LLT', 'FN', 'PT', 'PT', 'PT', 'PT', 'ET', 'LLT', 'ET', 'ET', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'LS', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'RT', 'SI', 'SY', 'SY', 'PM', 'CN', 'LPDN', 'LPN', 'PT', 'SY', 'LLT', 'SY', 'SY', 'SY', 'ET', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY', 'SY', 'SY', 'SY', 'SY', 'PTCS', 'PT', 'SY']
C0015411	['SY', 'SY', 'PM', 'PT', 'MH', 'PT', 'PM', 'PM', 'PT']
C0015468	['SY', 'FN', 'PT', 'SY', 'ET', 'PTN', 'SY', 'PT', 'SY', 'FN', 'ET', 'ET', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY', 'PT', 'SY', 'PT', 'SY', 'SY', 'FN', 'LLT', 'PT', 'SY', 'SY', 'PM', 'ET', 'PT', 'PT', 'PT']
