C0018302	['IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'SU', 'N1', 'IN', 'SY']
C0018964	['CSN', 'N1', 'PTGB', 'SY', 'SY', 'SYGB', 'ET', 'SY', 'FN', 'PT', 'SY', 'ET', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SY', 'ET', 'SY', 'ET', 'ET', 'SY', 'SY']
C0019215	['N1', 'SY', 'IN', 'MH', 'PT', 'PM', 'ET']
C0019729	['PM', 'PM', 'PEP', 'PM']
C0019738	['PM', 'PM', 'PEP', 'PM']
C0019752	['PM', 'PM', 'PEP', 'PM']
C0019755	['PM', 'PM', 'PEP', 'PM']
C0019766	['PM', 'PM', 'PEP', 'PM']
C0019784	['PM', 'PM', 'PEP', 'PM']
C0019832	['N1', 'MH', 'SY', 'SY', 'SY', 'SY', 'ET', 'PT', 'PT', 'PT']
C0019941	['PT', 'FN', 'MH', 'PN', 'PT', 'PT', 'SY', 'ET', 'SY', 'PM']
C0019942	['PEP', 'PM', 'PM']
C0019943	['PEP', 'PM', 'PM']
C0020231	['ET', 'FN', 'SY', 'CN', 'IN', 'LPDN', 'LPN', 'NM', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'FN']
C0020259	['PM', 'PM', 'PM', 'SY', 'PT', 'FN', 'FN', 'PT', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'MS', 'N1', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'PT', 'ET', 'PT', 'ET', 'SY', 'SY', 'PT', 'FN']
C0020281	['SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'SY', 'ET', 'N1', 'FN', 'FN', 'PT', 'FN', 'BN', 'DN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'ET', 'SY', 'SY', 'BN', 'PM', 'BN', 'FN']
C0020282	['N1', 'FN', 'CN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'PM', 'SY']
C0020368	['MH']
C0020411	['N1', 'PM', 'ET', 'SY', 'PM', 'ET', 'SY', 'FSY', 'FN', 'FN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'ET', 'ET', 'ET']
C0020738	['N1', 'PM', 'FN', 'MH', 'PT', 'PT']
C0020929	['ET', 'MH', 'PT']
C0021075	['ET', 'ET', 'ET', 'SY', 'MH', 'PT']
C0021212	['ET', 'PT', 'PEP', 'PN', 'SY']
C0021213	['MH', 'PT', 'ET']
C0021219	['CHN', 'CSN', 'N1', 'PM', 'IN', 'IN', 'SY', 'CSN', 'IN', 'IN', 'MS', 'SU', 'SY', 'SU', 'IN', 'PEP', 'PT', 'PT', 'PT', 'SU', 'SU', 'SY', 'PM', 'BN', 'GN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'PIN', 'PN', 'PT', 'SY', 'SY', 'SY', 'PT', 'SY', 'SY', 'SY', 'FN', 'ET', 'IN', 'IN', 'IN', 'IN', 'PT', 'PT', 'PT', 'SU', 'SY', 'SY', 'SY', 'SY', 'SYGB', 'SY', 'SYGB', 'ET']
C0021225	['CSN', 'CSN', 'PM', 'FN', 'PIN', 'PN', 'PT', 'PT', 'PT', 'SU', 'PEP', 'IN']
C0021234	['N1', 'SY', 'PM', 'FN', 'FN', 'BN', 'CN', 'DN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'FN', 'ET', 'ET', 'ET', 'ET']
C0021717	['PM', 'PM', 'PM', 'PM', 'PT', 'SY', 'ET', 'ET', 'SY', 'MH', 'ET', 'SY', 'ET', 'ET', 'ET', 'ET', 'PT', 'PT', 'ET', 'SY', 'PM', 'PM']
C0021936	['FN', 'CN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'N1', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU']
C0021961	['SY', 'SY', 'SY', 'N1', 'FSY', 'FN', 'GN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'FSY', 'SY']
C0021962	['PEP']
C0021971	['SY', 'ET', 'FSY', 'IN', 'SY', 'SY', 'FSY', 'N1', 'FN', 'ET', 'GN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'FN']
C0021972	['N1', 'PTGB', 'FN', 'MH', 'PN', 'PT', 'PT', 'SY', 'SY', 'ET', 'ET', 'ET', 'PM']
C0021973	['CSN', 'CSN', 'N1', 'DN', 'MH', 'PT']
C0021983	['PM', 'N1', 'PM', 'PM', 'ET', 'PT', 'ET', 'ET', 'IN', 'MH', 'PM', 'ET', 'ET']
C0021990	['N1', 'ET', 'ET', 'IN', 'SY', 'FN', 'IN', 'MH', 'PT', 'PT', 'PT', 'ET']
C0021991	['MH']
C0021993	['PEP']
C0022003	['PM', 'N1', 'IN', 'IN', 'MH', 'PT', 'PT']
C0022004	['PEP']
C0022005	['N1', 'FN', 'FN', 'ET', 'CN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LA', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'FSY', 'SY', 'FN']
C0022026	['CHN', 'CSN', 'CHN', 'CSN', 'N1', 'FN', 'DN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LA', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'FSY', 'ET', 'FN']
