C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0009286	[]
C0009287	[]
C0009288	[]
C0009289	[]
C0009290	[]
C0009291	[]
C0009292	[]
C0009293	[]
C0009294	[]
C0009295	[]
C0009297	['colicin']
C0009298	[]
C0009299	[]
C0009300	[]
C0009304	['Colipase A']
C0009305	[]
C0009306	[]
C0009331	['collagen type II']
C0009332	['Collagen Type III']
C0009333	['Collagen Type IV']
C0009334	['Collagen Type IX']
C0009335	['Collagen Type V']
C0009336	['Collagen Type VI']
C0009337	['Collagen Type VII']
C0009338	['Collagen Type VIII']
C0009339	['Collagen Type X']
C0009342	[]
C0009392	['Colony-Stimulating Factors']
C0009412	[]
C0009498	['Complement System Proteins']
C0009499	['Complement component C1']
C0009500	['Complement C1 Inactivator Proteins']
C0009502	['Complement C1q']
C0009503	['Complement component C1r']
C0009504	['Complement component C1s']
C0009505	['Complement 2']
C0009506	['Complement 3']
C0009507	[]
C0009508	[]
C0009510	['Complement C3a']
C0009511	['Complement C3b']
C0009512	['Complement 3b Inactivators']
C0009514	[]
C0009515	['Complement C3d']
C0009516	['Complement component C4']
C0009517	['Complement component C4a']
C0009518	['Complement C4b']
C0009519	['Complement component C5']
C0009521	['Complement C5a']
C0009522	[]
C0009523	['Complement component C6']
C0009524	['Complement component C7']
C0009525	['Complement component C8']
C0009526	['Complement component 9']
C0009527	[]
C0009545	['Complement Membrane Attack Complex']
C0009552	['Complement Receptor Type 1']
C0009629	['Conalbumin']
C0009630	['Concanavalin A']
C0009841	[]
C0009915	[]
C0009939	[]
C0009968	['copper']
C0009974	[]
C0009985	['COPROPORPHYRINOGEN OXIDASE']
C0009987	[]
C0009988	[]
C0009991	[]
C0010004	[]
C0010011	[]
C0010012	[]
C0010050	[]
C0010079	[]
C0010080	[]
C0010094	['Corpus Luteum Hormones']
C0010116	[]
C0010117	[]
C0010124	['Corticosterone']
C0010132	['corticotropin-releasing hormone']
C0010137	['cortisone']
C0010138	[]
C0010139	['Cortodoxone']
C0010167	[]
C0010192	['cosyntropin']
C0010204	[]
C0010286	['creatine']
C0010287	['Creatine Kinase']
C0010288	['Creatine kinase isoenzyme']
C0010289	['Creatine Kinase, BB Form']
