C1332714	[4, 7, 11]
C1332715	[11]
C1332716	[10]
C1332718	[]
C1332719	[8, 10]
C1332720	[14]
C1332721	[5, 10, 14]
C1332722	[11]
C1332724	[8, 18]
C1332725	[6, 11, 16]
C1332727	[9, 14]
C1332728	[6, 11, 17]
C1332729	[1, 15, 17]
C1332730	[7]
C1332732	[9, 17]
C1332733	[2, 7, 10]
C1332734	[6]
C1332735	[7, 9]
C1332736	[6]
C1332737	[4, 11, 13]
C1332738	[9, 14]
C1332739	[10, 14]
C1332740	[3, 9]
C1332741	[3]
C1332742	[6]
C1332743	[2, 7]
C1332744	[4]
C1332745	[15]
C1332747	[]
C1332749	[13]
C1332750	[]
C1332751	[14]
C1332752	[7, 8]
C1332753	[1, 11]
C1332754	[12, 15, 21]
C1332755	[8, 11, 15]
C1332757	[9, 11, 12]
C1332758	[2, 11]
C1332759	[2, 11]
C1332760	[11]
C1332761	[11]
C1332762	[1, 2, 4, 9, 15]
C1332763	[11]
C1332764	[14]
C1332765	[2, 5]
C1332766	[1, 10]
C1332767	[0, 2, 5, 14]
C1332768	[]
C1332770	[1, 4, 9, 15, 21]
C1332771	[2, 8, 13]
C1332772	[2, 4, 9, 12, 13]
C1332773	[4, 13, 15, 20]
C1332774	[1, 14]
C1332775	[1]
C1332776	[9]
C1332777	[21]
C1332778	[]
C1332780	[]
C1332781	[19]
C1332782	[15]
C1332784	[16, 21]
C1332785	[13]
C1332786	[13, 14]
C1332787	[13]
C1332788	[1, 6, 7]
C1332789	[2, 7, 12, 13]
C1332790	[11, 16]
C1332791	[2, 11, 12, 16, 19]
C1332792	[9, 16]
C1332793	[4, 7, 12, 13, 17, 19]
C1332794	[3, 6, 11]
C1332795	[18]
C1332796	[]
C1332797	[2, 8]
C1332798	[5, 10, 13, 19]
C1332799	[3, 11]
C1332800	[1, 9, 10]
C1332801	[12]
C1332802	[8, 16]
C1332803	[1, 7, 15, 22]
C1332804	[5, 9, 14]
C1332805	[2, 5, 8, 13]
C1332806	[1, 3, 5, 15]
C1332807	[1, 3, 11]
C1332808	[3, 6, 16]
C1332809	[6, 8]
C1332810	[6]
C1332811	[2, 9, 11]
