C0007120	[9, 13, 25, 36, 68]
C0007121	[3, 7, 20, 29]
C0007122	[]
C0007124	[4, 5, 27, 34, 40, 43, 44, 53, 54, 55, 59, 82, 84, 85]
C0007125	[0, 7]
C0007128	[]
C0007129	[10, 17, 18, 19, 20, 38, 42, 45, 61]
C0007130	[15, 17, 19, 35, 38, 39, 44, 46, 48, 49]
C0007131	[19, 21, 26, 38, 40, 41, 45, 46, 47, 49, 52, 54, 58]
C0007133	[8, 10, 11, 13]
C0007134	[41, 52, 53, 60, 65, 84, 112, 114, 122]
C0007135	[]
C0007137	[15, 17, 35, 37, 39, 41, 66, 67, 74, 75]
C0007138	[10, 28, 29, 30, 32, 33]
C0007140	[11, 12, 15, 16]
C0007177	[12, 15, 17, 23, 24, 25]
C0007192	[10]
C0007193	[20, 27, 36, 39, 43, 47]
C0007194	[10, 15, 26, 29, 30, 35]
C0007196	[28, 32, 33]
C0007222	[0, 7, 9, 10, 17, 19, 25, 26, 27, 31, 32, 33, 35, 38, 40, 43]
C0007273	[13, 15, 16, 28]
C0007274	[7, 14]
C0007279	[4, 6, 14, 16, 17, 18, 21, 22]
C0007282	[9, 20, 21, 23, 26, 27, 28, 30]
C0007283	[]
C0007286	[4, 23, 26, 28, 31, 36, 37, 42]
C0007297	[4, 6, 9]
C0007302	[1, 4, 10, 12, 20, 21]
C0007350	[0, 2, 7, 14, 16]
C0007361	[0, 15, 16, 17, 33, 35, 36]
C0007370	[8, 10]
C0007384	[12, 18]
C0007391	[]
C0007397	[0, 1]
C0007398	[14, 17, 21, 22, 23]
C0007453	[2, 3, 4, 5]
C0007459	[]
C0007462	[10, 27]
C0007527	[]
C0007528	[]
C0007570	[22, 23, 26, 27, 33, 41, 48, 49, 69, 81]
C0007621	[4, 9, 11, 21]
C0007643	[]
C0007644	[]
C0007645	[5]
C0007646	[]
C0007657	[]
C0007659	[6, 9, 21]
C0007682	[5, 6, 8, 9, 10, 11, 14, 17, 18, 20, 21, 24, 26, 29, 44]
C0007684	[6, 8, 10, 11, 16, 18]
C0007688	[12, 14, 16]
C0007711	[]
C0007722	[19, 24, 32, 36]
C0007758	[2, 14, 22, 23, 24, 25]
C0007760	[3, 6, 12, 15, 16, 17, 18, 21, 25]
C0007761	[]
C0007762	[7, 10]
C0007766	[4, 12, 16, 19, 20, 22, 23]
C0007771	[]
C0007773	[]
C0007774	[10]
C0007775	[14, 15, 16]
C0007780	[5, 6, 12, 16, 17, 18]
C0007781	[]
C0007785	[0, 1, 2, 19, 20, 21, 25, 26, 27, 29, 30]
C0007786	[1, 2, 3, 11, 12, 17, 20]
C0007787	[14, 40, 42, 44, 49, 69, 71, 72, 78, 80, 81]
C0007788	[]
C0007789	[0, 28, 30, 31, 41]
C0007795	[13, 42]
C0007798	[]
C0007813	[]
C0007814	[5, 19]
C0007815	[6, 8, 11, 22, 23, 25]
C0007820	[4, 23, 25, 26, 31, 33, 34, 39, 40, 41, 45, 46]
C0007832	[]
C0007847	[]
C0007852	[]
C0007855	[5, 6, 9]
C0007856	[]
C0007860	[15, 16]
C0007861	[]
C0007862	[7]
C0007863	[10, 11]
C0007867	[1, 3, 6, 8]
C0007868	[8, 9, 11]
C0007869	[]
C0007870	[]
C0007873	[4, 12, 23]
C0007894	[4, 9, 18, 21, 25, 41, 42, 44, 48, 49]
C0007930	[6, 9]
C0007932	[]
C0007933	[0, 18, 19]
C0007944	[]
C0007947	[22, 32]
C0007959	[5, 6, 21, 24, 28]
C0007965	[27, 28, 29, 35]
C0007969	[]
C0007971	[20, 21, 31]
C0008029	[9, 14, 15]
C0008043	[]
C0008049	[3, 18, 20, 25, 41, 42]
C0008055	[4, 5, 6, 16, 17, 19, 22, 26]
C0008058	[4, 5, 23, 24, 33, 43, 44, 46, 52, 53]
C0008060	[7, 11, 12, 19]
C0008062	[13, 15, 16, 20, 28]
C0008066	[]
