C0007642	['MEDCIN', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MTHICD9', 'CHV', 'CSP', 'ICD10', 'ICD10AM', 'MDR', 'MSH', 'MTH', 'CHV', 'HPO', 'ICPC2ICD10ENG', 'ICPC2P', 'LCH_NW', 'MDR', 'MEDCIN', 'MEDLINEPLUS', 'NCI', 'NCI_FDA', 'NCI_NCI-GLOSS', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'ICPC2P', 'NCI_caDSR', 'ICD10', 'ICD10AM', 'ICD10CM', 'SNOMEDCT_VET', 'ICPC2ICD10ENG', 'HPO', 'SNOMEDCT_VET', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG']
C0007784	['SNOMEDCT_US', 'SNOMEDCT_US', 'MTH', 'SNOMEDCT_US']
C0007871	['SNOMEDCT_US', 'SNOMEDCT_US', 'MEDCIN', 'SNOMEDCT_US', 'MEDCIN', 'MEDCIN', 'MDR', 'CCS', 'MDR', 'MEDCIN', 'SNOMEDCT_US', 'ICPC2P', 'CHV', 'NCI', 'NCI_NICHD', 'MSH', 'HPO', 'NCI_NICHD', 'OMIM', 'NCI', 'SNOMEDCT_US', 'MSH', 'MSH', 'CHV', 'CHV', 'MSH', 'ICPC2ICD10ENG', 'SNOMEDCT_US', 'CHV', 'ICD10', 'ICD10AM', 'ICD10CM', 'MDR', 'ICD9CM', 'SNOMEDCT_US', 'MSH', 'MSH', 'ICPC2P', 'MSH', 'MSH', 'MDR', 'CHV', 'NCI', 'NCI_FDA', 'HPO', 'SNOMEDCT_US', 'ICPC2P', 'ICPC2ICD10ENG', 'MSH']
C0007994	['MTH', 'MSH']
C0008301	['CHV', 'CHV', 'SNOMEDCT_US', 'MEDCIN', 'NOC', 'LNC', 'MDR', 'MSH', 'MTH', 'CHV', 'ICPC2P', 'MDR', 'MEDCIN', 'MEDLINEPLUS', 'NCI', 'NCI_FDA', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'ICPC2P', 'NANDA-I']
C0008519	['MSH', 'CHV', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US', 'MDR', 'MSH', 'MDR', 'NCI', 'SNOMEDCT_US', 'CHV', 'MSH', 'CHV', 'SNOMEDCT_US', 'CHV', 'SNOMEDCT_US', 'MSH', 'MTH', 'CHV', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US', 'OMIM', 'CHV', 'OMIM', 'CHV', 'HPO', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0008522	['HPO', 'MSH', 'HPO', 'CHV', 'ICPC2ICD10ENG', 'MDR', 'MDR', 'MDR', 'SNOMEDCT_US', 'CHV', 'HPO', 'MDR', 'MEDCIN', 'SNOMEDCT_US', 'MEDCIN', 'MSH', 'MDR', 'MDR', 'CHV', 'MEDCIN', 'SNOMEDCT_US', 'HPO', 'MDR', 'ICD9CM', 'MSH', 'MSH', 'MSH', 'ICPC2ICD10ENG', 'ICD10CM', 'ICD10CM']
C0008767	['CHV', 'SNOMEDCT_US', 'MSH', 'MTH', 'CHV', 'SNOMEDCT_US', 'CHV', 'CHV', 'CHV', 'LNC', 'CHV', 'MSH', 'LNC', 'MDR', 'CHV', 'HPO', 'HPO', 'CHV']
C0009566	['SNOMEDCT_US', 'MTH', 'CHV', 'MTH', 'NCI', 'NCI_NCI-GLOSS', 'NCI_NICHD', 'SNOMEDCT_US', 'NCI_caDSR', 'CHV', 'LNC', 'LNC', 'LNC', 'CCS', 'CHV', 'NCI_caDSR', 'LNC', 'LNC', 'LNC', 'LNC', 'CHV', 'CSP', 'NCI']
C0009568	['NCI', 'NCI', 'MTH', 'MEDCIN', 'MEDCIN', 'ICD9CM', 'MDR', 'NCI_CTRP', 'NCI']
C0009760	['MDR', 'MDR', 'CHV', 'ICPC2ICD10ENG', 'MDR', 'MDR', 'ICD10', 'ICD10AM', 'MDR', 'SNOMEDCT_US', 'CHV', 'SNOMEDCT_US', 'ICD10CM', 'MDR', 'MDR', 'CHV', 'ICD10AE', 'ICD10AMAE', 'ICD9CM', 'NCI', 'SNOMEDCT_US', 'MTH', 'ICD10CM', 'CHV', 'CHV', 'ICPC2ICD10ENG']
C0009814	['SNOMEDCT_US', 'MTH', 'SNOMEDCT_US']
C0010037	['CSP', 'CHV', 'ICPC2ICD10ENG', 'MEDCIN', 'SNOMEDCT_US', 'MEDCIN', 'CSP', 'ICD9CM', 'MDR', 'MSH', 'MDR', 'MTH', 'CHV', 'MEDCIN', 'NCI', 'NCI_FDA', 'SNOMEDCT_US', 'OMIM', 'MTH', 'MDR', 'ICD9CM', 'MSH', 'MDR', 'MDR', 'SNOMEDCT_US', 'MDR', 'CHV', 'MDR', 'MSH', 'ICPC2ICD10ENG', 'MSH', 'MDR', 'ICD10CM']
C0010392	['ICPC2ICD10ENG', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MEDCIN', 'SNOMEDCT_US', 'CSP', 'ICD10CM', 'MTHICD9', 'MDR', 'MSH', 'MTH', 'CHV', 'LCH_NW', 'MDR', 'MEDCIN', 'SNOMEDCT_US', 'MSH', 'CHV', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'CHV', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MEDCIN', 'SNOMEDCT_US', 'ICD10CM', 'MTHICD9', 'MSH', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'MSH']
C0010828	['SNOMEDCT_US', 'CSP', 'MDR', 'CHV', 'MDR', 'NCI', 'NCI_NCI-GLOSS', 'SNOMEDCT_US', 'OMIM', 'CHV']
C0011071	['ICPC2P', 'MDR', 'MSH', 'ICPC2ICD10ENG', 'MEDCIN', 'MEDCIN', 'SNOMEDCT_US', 'MDR', 'MSH', 'MDR', 'OMIM', 'MTH', 'CHV', 'HPO', 'LCH_NW', 'MDR', 'NCI', 'SNOMEDCT_US', 'OMIM', 'ICPC2P', 'NCI_CTCAE', 'ICPC2ICD10ENG']
C0011103	['HPO', 'SNOMEDCT_US', 'MEDCIN', 'MEDCIN', 'MSH', 'HPO', 'LCH_NW', 'MEDCIN', 'SNOMEDCT_US', 'MSH', 'MTH', 'MSH', 'MSH', 'MSH', 'MSH']
C0011164	['MTH', 'CHV', 'CHV', 'CHV', 'CHV', 'CHV', 'LNC', 'NCI_CDISC', 'CHV', 'CHV', 'SNOMEDCT_US', 'SNOMEDCT_US', 'CHV', 'OMIM', 'CHV', 'NCI']
C0011174	['SNOMEDCT_US', 'SNOMEDCT_US', 'SNOMEDCT_US']
