C0020099	['LPDN', 'SY', 'ET', 'LPDN', 'LPN', 'SY', 'SY', 'ET', 'LA', 'PT', 'PT', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'SY', 'ET', 'ET', 'ET', 'PT', 'PM', 'ET', 'ET', 'SYGB', 'ET', 'SY', 'SY', 'FN', 'MH', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'ET', 'ET', 'ET', 'ET', 'SY']
C0020121	['FN', 'PT', 'SCN']
C0021333	['PEP', 'PM', 'FN', 'CN', 'ET', 'ET', 'LPDN', 'LPN', 'PN', 'PT', 'PM', 'ET', 'ET', 'ET']
C0021335	['SY', 'SY', 'ET', 'SCN', 'FN', 'EQ', 'EQ', 'EQ', 'CN', 'EQ', 'ET', 'LPDN', 'LPN', 'PN', 'PT', 'EQ', 'EQ', 'EQ', 'EQ', 'EQ', 'EQ', 'ET', 'ET', 'MH', 'PM', 'ET', 'PM', 'EQ', 'ET', 'ET', 'SY', 'ET', 'ET', 'PM', 'PM']
C0021338	['EQ', 'ET', 'PM', 'ET', 'PM', 'ET', 'ET', 'SY', 'ET', 'SY', 'ET', 'PM', 'PT', 'FN', 'EQ', 'EQ', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'SCN', 'PM', 'PM']
C0021344	['SY', 'SY', 'ET', 'PT', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'EQ', 'LPDN', 'LPN', 'PEP', 'SY', 'SY', 'SY', 'SY', 'PM', 'SY', 'SY', 'SY', 'FN', 'SY', 'EQ', 'PM', 'ET', 'DN', 'ET', 'IN', 'IN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SU', 'SY', 'SY', 'SY', 'SY', 'PM', 'PM', 'IN', 'PM', 'PM', 'SY', 'SY', 'SY', 'PM', 'PM', 'PM', 'PM', 'ET', 'SY', 'SY', 'SY', 'SY']
C0021574	['FN', 'PM', 'PT', 'PT', 'MH', 'PT', 'PM', 'PM']
C0022075	['PM', 'PM', 'FN', 'PT', 'ET', 'MH', 'SCN']
C0022338	['FN', 'LPDN', 'LPN', 'PEP', 'PT']
C0022369	['SY', 'ET', 'SY', 'SY', 'ET', 'SY', 'SY', 'DN', 'ET', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'FN', 'ET', 'SY', 'SY', 'ET', 'PT', 'SY', 'SY', 'SY', 'SY', 'PM', 'ET', 'PM']
C0022551	['FN', 'ET', 'PEP', 'PT']
C0022722	['FN', 'MH', 'PT', 'SCN', 'ET', 'PM', 'PM']
C0022803	['FN', 'PT']
C0022811	['FN', 'PEP', 'PT', 'SCN', 'SY']
C0022858	['FN', 'ET', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'ET', 'SY']
C0022921	['ET', 'PM', 'ET', 'PT', 'PM', 'MH', 'PM', 'ET', 'FN', 'ET', 'ET', 'PT', 'PM', 'ET', 'ET']
