C0440555	[1, 0]
C0440556	[1, 0]
C0440557	[0, 1]
C0440558	[1, 0]
C0440559	[0, 1]
C0440560	[1, 0]
C0440561	[1, 0]
C0440563	[1, 0]
C0440565	[1, 0]
C0440566	[1, 0]
C0440567	[1, 0]
C0440568	[1, 0]
C0440569	[1, 0]
C0440570	[1, 0]
C0440571	[1, 0]
C0440572	[1, 0]
C0440573	[1, 0]
C0440574	[1, 0]
C0440575	[1, 0]
C0440576	[1, 0]
C0440577	[1, 0]
C0440578	[1, 0]
C0440579	[1, 0]
C0440580	[1, 0]
C0440581	[1, 0]
C0440582	[1, 0]
C0440583	[1, 0]
C0440584	[1, 0]
C0440585	[1, 0]
C0440587	[1, 0]
C0440588	[1, 0]
C0440589	[1, 0]
C0440590	[1, 0]
C0440591	[1, 0]
C0440592	[1, 0]
C0440593	[1, 0]
C0440594	[1, 0]
C0440595	[1, 0]
C0440596	[1, 0]
C0440597	[1, 0]
C0440598	[1, 0]
C0440599	[1, 0]
C0440600	[1, 0]
C0440601	[1, 0]
C0440602	[1, 0]
C0440603	[1, 0]
C0440604	[1, 0]
C0440605	[1, 0]
C0440606	[1, 0]
C0440607	[1, 0]
C0440608	[1, 0]
C0440609	[1, 0]
C0440610	[1, 0]
C0440611	[1, 0]
C0440612	[1, 0]
C0440613	[1, 0]
C0440614	[1, 0]
C0440615	[1, 0]
C0440616	[1, 0]
C0440617	[1, 0]
C0440618	[1, 0]
C0440619	[1, 0]
C0440620	[1, 0]
C0440621	[1, 0]
C0440622	[1, 0]
C0440623	[1, 0]
C0440624	[1, 0]
C0440625	[1, 0]
C0440626	[1, 0]
C0440627	[1, 0]
C0440628	[1, 0]
C0440629	[1, 0]
C0440630	[1, 0]
C0440631	[1, 0]
C0440632	[1, 0]
C0440633	[1, 0]
C0440634	[1, 0]
C0440635	[1, 0]
C0440636	[1, 0]
C0440637	[1, 0]
C0440638	[1, 0]
C0440639	[1, 0]
C0440640	[1, 0]
C0440641	[1, 0]
C0440642	[1, 0]
C0440643	[1, 0]
C0440645	[1, 0]
C0440646	[1, 0]
C0440647	[1, 0]
C0440648	[1, 0]
C0440649	[0, 1]
C0440650	[1, 0]
C0440651	[0, 1]
C0440652	[1, 0]
C0440653	[1, 0]
C0440654	[1, 0]
C0440655	[1, 0]
C0440656	[1, 0]
C0440657	[1, 0]
C0440658	[1, 0]
C0440659	[1, 0]
C0440660	[0, 1]
C0440661	[1, 0]
C0440662	[1, 0]
C0440663	[1, 0]
C0440664	[1, 0]
C0440665	[1, 0]
C0440666	[1, 0]
C0440667	[1, 0]
C0440668	[1, 0]
C0440669	[1, 0]
C0440670	[1, 0]
C0440671	[1, 0]
C0440672	[0, 1]
C0440673	[1, 0]
C0440674	[1, 0]
C0440675	[1, 0]
C0440676	[1, 0]
C0440677	[1, 0]
C0440678	[1, 0]
C0440679	[1, 0]
C0440680	[1, 0]
C0440681	[1, 0]
C0440682	[1, 0]
C0440683	[1, 0]
C0440684	[1, 0]
C0440685	[1, 0]
C0440686	[1, 0]
C0440687	[1, 0]
C0440688	[1, 0]
C0440689	[1, 0]
C0440690	[1, 0]
C0440691	[1, 0]
C0440692	[1, 0]
C0440693	[1, 0]
C0440694	[1, 0]
C0440695	[1, 0]
C0440696	[1, 0]
C0440697	[1, 0]
C0440698	[1, 0]
C0440699	[1, 0]
C0440700	[1, 0]
C0440701	[1, 0]
C0440702	[1, 0]
C0440703	[1, 0]
C0440704	[1, 0]
C0440705	[1, 0]
C0440706	[1, 0]
C0440707	[1, 0]
C0440708	[1, 0]
C0440709	[1, 0]
C0440710	[1, 0]
C0440711	[1, 0]
C0440712	[1, 0]
C0440713	[1, 0]
C0440714	[1, 0]
C0440715	[1, 0]
C0440716	[1, 0]
C0440717	[1, 0]
C0440718	[1, 0]
C0440719	[1, 0]
C0440720	[1, 0]
C0440721	[1, 0]
C0440722	[1, 0]
C0440723	[1, 0]
C0440724	[1, 0]
C0440725	[1, 0]
C0440726	[1, 0]
C0440727	[1, 0]
C0440728	[1, 0]
C0444051	[1, 0]
C0444052	[1, 0]
C0444060	[1, 0]
C0444905	[1, 0]
C0450238	[1, 0]
C0457459	[1, 0]
C0473780	[1, 0, 0, 0, 1, 1, 0]
C0524628	[1, 1, 1, 1]
C0524889	[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
C0524890	[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
C0524891	[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
C0524892	[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
C0524893	[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
C0524947	[1, 1, 1, 1]
C0525035	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0525036	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0525037	[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0]
C0537026	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]
C0546917	[1]
C0546918	[1]
C0555908	[1, 0, 0]
C0555909	[1, 0, 0]
C0555910	[1, 0, 0]
C0555911	[1, 0, 0]
C0555912	[1, 0, 0]
C0555913	[1, 0, 0]
C0555914	[1, 0, 0]
C0555915	[1, 0, 0]
C0555916	[1, 0, 0]
C0555917	[1, 0, 0]
C0555918	[1, 0, 0]
C0596123	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C0596223	[0, 0, 1, 0, 0]
C0596707	[1]
C0597336	[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
C0598034	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
C0598467	[1]
C0598468	[1]
C0598492	[1]
C0598493	[1]
C0598659	[1]
C0598660	[1]
C0598663	[1]
C0598664	[1]
C0598665	[1]
C0598666	[1]
C0599294	[1]
C0599295	[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
C0599770	[1]
C0599776	[1]
C0599797	[0, 1, 0, 1]
C0599798	[0, 1]
C0599868	[1]
C0599869	[1]
C0599897	[1]
C0599898	[1, 0]
C0599899	[0, 1, 1, 1]
C0599900	[1]
C0599903	[1]
C0600449	[1, 1, 1, 1]
C0600497	[1, 1, 1, 1]
C0677907	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
C0678928	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0678929	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0678933	[1, 1, 1, 1]
C0678941	[1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]
C0683222	[0, 1]
C0683223	[0, 1]
C0694872	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
C0694873	[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]
C0694878	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
C0694879	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
