C0025979	[0, 3, 5, 10, 12, 13, 14, 15, 16, 19, 20, 27, 28, 29, 31, 1, 2, 7, 8, 9, 11, 24, 26, 30, 36, 37]
C0026029	[2, 7, 4, 6, 8, 9]
C0026030	[0, 1, 2, 3]
C0026046	[2, 9, 10, 6, 8, 11, 12, 13]
C0026049	[2, 5, 3, 8, 11]
C0026237	[2, 3, 16, 9, 10, 12, 13, 14, 21, 22]
C0026238	[0, 1, 2, 3, 4, 5]
C0026239	[0, 1, 2, 3]
C0026240	[1, 2, 3, 5, 6, 7, 4]
C0026258	[0, 1, 3, 10, 11, 15, 20, 21, 22, 23, 6, 18, 19]
C0026473	[3, 20, 21, 1, 12, 14, 25, 26, 27]
C0026608	[1, 2, 3, 4, 5, 10, 11, 14, 15, 13]
C0026609	[1, 5, 8, 14, 15, 19, 20, 2, 6, 10, 12, 13, 16, 18]
C0026610	[0, 2, 4, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]
C0026973	[2, 3, 12, 17, 18, 6, 9, 11, 13, 14, 15, 16]
C0027075	[2, 11, 6, 8, 10]
C0027625	[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 16, 21, 22, 23, 24, 25, 26, 15, 18, 20]
C0027747	[4, 7, 10, 14, 15, 9, 13, 16, 17, 19, 20, 28]
C0027749	[5, 11, 0, 6, 9, 10, 12, 14, 16]
C0027750	[0, 1, 4, 5, 11, 16, 17, 9, 12]
C0027829	[1, 2, 0]
C0027834	[2, 9, 6, 8, 10]
C0027836	[0, 1, 2, 4, 5, 6, 14, 20, 24, 27, 28, 36, 41, 44, 9, 12, 15, 18, 19, 21, 22, 23, 31, 35, 37, 42, 46]
C0027869	[1, 2, 3, 4, 6, 12, 14, 21, 18, 20, 22, 23]
C0027882	[0, 3, 5, 10, 19, 27, 28, 7, 8, 9, 12, 13, 14, 15, 16, 24, 25, 26, 31, 32]
C0027883	[0, 1, 5, 8, 9, 3, 6, 11, 13, 15]
C0027884	[2, 5, 9, 10, 11, 0, 7, 8]
C0027950	[4, 5, 12, 13, 20, 30, 46, 49, 52, 54, 0, 18, 19, 21, 23, 33, 34, 37, 38, 39, 43, 47, 48, 50, 51, 53, 55, 56, 57]
C0028117	[0, 2, 3, 5, 13, 17, 7, 10]
